PlotID	SpCode	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP70	Acaccaes	25	0	0	0	0
BSP70	Acaccaes	25	0	0	0	0
BSP70	Acaccaes	28	0	0	0	0
BSP70	Acaccaes	38	0	0	0	0
BSP70	Acaccaes	54	0	0	0	0
BSP100	Acaccate	12	0	0	0	0
BSP100	Acaccate	13	0	0	0	0
BSP100	Acaccate	14	0	0	0	0
BSP100	Acaccate	15	0	0	0	0
BSP100	Acaccate	16	0	0	0	0
BSP100	Acaccate	16	0	0	0	0
BSP100	Acaccate	16	0	0	0	0
BSP100	Acaccate	17	0	0	0	0
BSP100	Acaccate	17	0	0	0	0
BSP100	Acaccate	17	0	0	0	0
BSP100	Acaccate	17	0	0	0	0
BSP100	Acaccate	19	0	0	0	0
BSP100	Acaccate	20	0	0	0	0
BSP100	Acaccate	20	0	0	0	0
BSP100	Acaccate	20	0	0	0	0
BSP100	Acaccate	22	0	0	0	0
BSP100	Acaccate	23	0	0	0	0
BSP100	Acaccate	23	0	0	0	0
BSP100	Acaccate	23	0	0	0	0
BSP100	Acaccate	24	0	0	0	0
BSP100	Acaccate	24	0	0	0	0
BSP100	Acaccate	25	0	0	0	0
BSP100	Acaccate	25	0	0	0	0
BSP100	Acaccate	25	0	0	0	0
BSP100	Acaccate	25	0	0	0	0
BSP100	Acaccate	26	0	0	0	0
BSP100	Acaccate	26	0	0	0	0
BSP100	Acaccate	27	0	0	0	0
BSP100	Acaccate	27	0	0	0	0
BSP100	Acaccate	27	0	0	0	0
BSP100	Acaccate	28	0	0	0	0
BSP100	Acaccate	29	24	0	0	0
BSP100	Acaccate	29	14	0	0	0
BSP100	Acaccate	29	0	0	0	0
BSP100	Acaccate	31	0	0	0	0
BSP100	Acaccate	31	0	0	0	0
BSP100	Acaccate	31	0	0	0	0
BSP100	Acaccate	31	0	0	0	0
BSP100	Acaccate	31	0	0	0	0
BSP100	Acaccate	33	0	0	0	0
BSP100	Acaccate	39	0	0	0	0
BSP100	Acaccate	40	0	0	0	0
BSP100	Acaccate	40	0	0	0	0
BSP100	Acaccate	45	0	0	0	0
BSP100	Acaccate	50	0	0	0	0
BSP100	Acaccate	54	0	0	0	0
BSP100	Acaccate	61	0	0	0	0
BSP61	Acaccate	13	0	0	0	0
BSP61	Acaccate	13	0	0	0	0
BSP61	Acaccate	14	0	0	0	0
BSP61	Acaccate	14	0	0	0	0
BSP61	Acaccate	14	0	0	0	0
BSP61	Acaccate	14	0	0	0	0
BSP61	Acaccate	14	0	0	0	0
BSP61	Acaccate	14	0	0	0	0
BSP61	Acaccate	15	0	0	0	0
BSP61	Acaccate	15	0	0	0	0
BSP61	Acaccate	15	0	0	0	0
BSP61	Acaccate	15	0	0	0	0
BSP61	Acaccate	15	0	0	0	0
BSP61	Acaccate	15	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	16	0	0	0	0
BSP61	Acaccate	17	0	0	0	0
BSP61	Acaccate	17	0	0	0	0
BSP61	Acaccate	17	0	0	0	0
BSP61	Acaccate	17	0	0	0	0
BSP61	Acaccate	17	0	0	0	0
BSP61	Acaccate	17	0	0	0	0
BSP61	Acaccate	17	0	0	0	0
BSP61	Acaccate	18	0	0	0	0
BSP61	Acaccate	18	0	0	0	0
BSP61	Acaccate	19	0	0	0	0
BSP61	Acaccate	19	0	0	0	0
BSP61	Acaccate	19	0	0	0	0
BSP61	Acaccate	20	0	0	0	0
BSP61	Acaccate	20	0	0	0	0
BSP61	Acaccate	21	0	0	0	0
BSP61	Acaccate	21	0	0	0	0
BSP61	Acaccate	21	0	0	0	0
BSP61	Acaccate	22	0	0	0	0
BSP61	Acaccate	22	0	0	0	0
BSP61	Acaccate	22	0	0	0	0
BSP61	Acaccate	23	0	0	0	0
BSP61	Acaccate	30	0	0	0	0
BSP61	Acaccate	34	0	0	0	0
BSP62	Acaccate	14	0	0	0	0
BSP62	Acaccate	24	23	0	0	0
BSP63	Acaccate	13	0	0	0	0
BSP63	Acaccate	14	0	0	0	0
BSP63	Acaccate	15	0	0	0	0
BSP63	Acaccate	17	0	0	0	0
