individualID,decimalLatitude,decimalLongitude,stemDiameter
NEON.PLA.D16.ABBY.00437,45.76066342236454,-122.33004870779523,10.875
NEON.PLA.D16.ABBY.00451,45.760716819774295,-122.33021392063455,7.575
NEON.PLA.D16.ABBY.00419,45.760469877692415,-122.33008768138497,7.125
NEON.PLA.D16.ABBY.00407,45.7603840979324,-122.33006519984886,9.225
NEON.PLA.D16.ABBY.00421,45.760509314866404,-122.33007292272467,69.125
NEON.PLA.D16.ABBY.00429,45.760593624541364,-122.3300864396459,9.6
NEON.PLA.D16.ABBY.00454,45.76072148501956,-122.33013904970285,9.225
NEON.PLA.D16.ABBY.00436,45.76063389648213,-122.33004252057188,10.35
NEON.PLA.D16.ABBY.00474,45.760661610097166,-122.33028092935852,1.8
NEON.PLA.D16.ABBY.00415,45.76045866183485,-122.33011254303675,4.65
NEON.PLA.D16.ABBY.00438,45.760647425742405,-122.33019684880135,2.4
NEON.PLA.D16.ABBY.00404,45.760404458611156,-122.33008850628508,6.816666666666666
NEON.PLA.D16.ABBY.00427,45.76072525228977,-122.33010991019653,8.9
NEON.PLA.D16.ABBY.00417,45.760427321068335,-122.33007733750286,7.5
NEON.PLA.D16.ABBY.00403,45.76039805881487,-122.33010639926763,5.3
NEON.PLA.D16.ABBY.00416,45.760445126493,-122.33009316340701,8.424999999999999
NEON.PLA.D16.ABBY.00431,45.76072016583756,-122.3300551462464,103.675
NEON.PLA.D16.ABBY.00414,45.760441318949184,-122.33012788574888,3.8
NEON.PLA.D16.ABBY.00449,45.7606947090498,-122.33019627242841,9.225
NEON.PLA.D16.ABBY.00420,45.76047781905672,-122.33005396420138,10.95
NEON.PLA.D16.ABBY.00444,45.760647277387434,-122.33023004009767,7.833333333333333
NEON.PLA.D16.ABBY.00413,45.76042162833875,-122.33012631082809,8.575
NEON.PLA.D16.ABBY.00447,45.76068626065398,-122.33022563900987,9.075
NEON.PLA.D16.ABBY.00411,45.76040425653585,-122.33025582395794,5.4
NEON.PLA.D16.ABBY.00418,45.76045024112803,-122.33006254385866,6.300000000000001
NEON.PLA.D16.ABBY.00440,45.76073027983411,-122.33012173925367,4.075
NEON.PLA.D16.ABBY.00402,45.76039480746022,-122.33010823534829,8.36
NEON.PLA.D16.ABBY.00441,45.76073011531899,-122.33024210294282,61.275
NEON.PLA.D16.ABBY.00430,45.76063594216416,-122.33018945135245,8.924999999999999
NEON.PLA.D16.ABBY.00435,45.760557375074285,-122.33008098236182,6.15
NEON.PLA.D16.ABBY.00412,45.76040798832035,-122.33013605657126,4.35
NEON.PLA.D16.ABBY.00446,45.76068597390935,-122.33026164591436,9.45
NEON.PLA.D16.ABBY.00448,45.76068463940304,-122.33019098004539,9.125
NEON.PLA.D16.ABBY.00406,45.760375343927066,-122.33010071623355,8.366666666666667
NEON.PLA.D16.ABBY.00445,45.76065553136826,-122.33025194815859,4.4
NEON.PLA.D16.ABBY.00453,45.76073387362144,-122.33018324886096,10.525
NEON.PLA.D16.ABBY.00401,45.76037751408596,-122.3301625528059,9.55
NEON.PLA.D16.ABBY.00452,45.760706761838655,-122.33016266467916,10.85
NEON.PLA.D16.ABBY.00405,45.76040345469926,-122.33008559819237,5.3
NEON.PLA.D16.ABBY.00450,45.76069896089304,-122.33024992272976,7.725
NEON.PLA.D16.ABBY.00426,45.76072927063659,-122.33006470312006,6.5
NEON.PLA.D16.ABBY.00489,45.76050112221376,-122.3285121551002,2.2
NEON.PLA.D16.ABBY.00526,45.76040065045256,-122.32874547367466,1.6
NEON.PLA.D16.ABBY.00491,45.760500511729134,-122.32853040674473,5.2
NEON.PLA.D16.ABBY.00490,45.760498043413584,-122.3285185351254,2.525
NEON.PLA.D16.ABBY.00478,45.760674818143606,-122.32863356353033,36.4
NEON.PLA.D16.ABBY.00525,45.76039658114394,-122.3287450537349,1.95
NEON.PLA.D16.ABBY.00479,45.760703155478396,-122.32856959909051,82.15
NEON.PLA.D16.ABBY.00524,45.760394309011694,-122.32872048077708,8.95
NEON.PLA.D16.ABBY.00528,45.76039645581496,-122.32875688564401,5.65
NEON.PLA.D16.ABBY.00480,45.76068101919223,-122.328540094998,29.775
NEON.PLA.D16.ABBY.00523,45.76037345762632,-122.32870260739045,7.925
NEON.PLA.D16.ABBY.00481,45.76063968697797,-122.32857182899485,83.35
NEON.PLA.D16.ABBY.00527,45.76039758415892,-122.32875892765323,7.583333333333333
NEON.PLA.D16.ABBY.00482,45.760604633472184,-122.32856969497793,49.95
NEON.PLA.D16.ABBY.00488,45.76052531497857,-122.32854113648334,6.525
