"PlotID","PlotTypeAlphaCode","PlotTypeNumCode","PlotTypeDescript"
1,"CO",1,"Spectab exclosure"
2,"CO",1,"Control"
3,"LK",3,"Long-term Krat Exclosure"
4,"CO",1,"Control"
5,"RE",4,"Rodent Exclosure"
6,"SK",2,"Short-term Krat Exclosure"
7,"RE",4,"Rodent Exclosure"
8,"CO",1,"Control"
9,"CO",1,"Spectab exclosure"
10,"RE",4,"Rodent Exclosure"
11,"CO",1,"Control"
12,"CO",1,"Control"
13,"SK",2,"Short-term Krat Exclosure"
14,"CO",1,"Control"
15,"LK",3,"Long-term Krat Exclosure"
16,"RE",4,"Rodent Exclosure"
17,"CO",1,"Control"
18,"SK",2,"Short-term Krat Exclosure"
19,"LK",3,"Long-term Krat Exclosure"
20,"SK",2,"Short-term Krat Exclosure"
21,"LK",3,"Long-term Krat Exclosure"
22,"CO",1,"Control"
23,"RE",4,"Rodent Exclosure"
24,"RE",4,"Rodent Exclosure"
