SURVEY,YEAR,SITE,TREATMENT,BLOCK,PLOT,SPECIES,ORIGINAL_TAG,NEW_TAG,DEAD,HEIGHT,AXIS_1,AXIS_2,CIRC,MEASUREMENT,STEMS
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,1,NA,N,3.4,6.1,5,37.8,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,1,NA,N,3.32,8.25,8.45,18.8,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,1,NA,N,3.65,8.85,9,57,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,1,NA,N,3.74,5.5,7.1,60,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,1,NA,N,3.59,5,8.15,55,C,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,2,NA,N,2.3,2.2,2.8,14.2,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,2,NA,N,2.32,2.75,2.65,18.4,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,2,NA,N,2.75,3.3,3.8,25,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,2,NA,Y,NA,NA,NA,NA,NA,NA
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,2,NA,N,2.86,3.7,2.6,31,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,3,NA,N,1.8,5.5,3.7,30.6,D,2
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,3,NA,N,2.95,3.4,5.4,23.5,D,3
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,3,NA,N,3,4,5.6,45,C,3
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,3,NA,NA,NA,NA,NA,NA,NA,NA
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_etbaica,3,NA,N,3.43,6.7,6.3,40,D,1
