Clade,Genus,Species,FL,Time,Formation
Theropoda,Achillobator,giganticus,505,LC,NA
Theropoda,Alxasaurus,elesitaiensis,555,LC,NA
Theropoda,Anchiornis,huxleyi,74,MJ,NA
Theropoda,Anserimimus,planinychus,435,LC,NA
Theropoda,Archaeopteryx,lithographica,52.6,LJ,NA
Theropoda,Austroraptor,cabazai,560,LC,NA
Theropoda,Avimimus,portentosus,210,LC,Dinosaur Park
Theropoda,Bambiraptor,feinbergi,118,LC,NA
Theropoda,Beishanlog,grandis,501,LC,NA
Theropoda,Buitriraptor,gonzalezorum,150,LC,NA
Theropoda,Caudipteryx,dongi,149,EC,NA
Theropoda,Caudipteryx,zhoui,149,EC,NA
Theropoda,Deinonychus,antirrhopus,336,EC,NA
Theropoda,Dromiceiomimus,brevitertius,454,LC,NA
Theropoda,Epidendrosaurus,heilmanni,17,MJ,NA
Theropoda,Epidexipteryx,hui,51,MJ,NA
Theropoda,Gallimimus,bullatus,673,LC,NA
Theropoda,Giganotosaurus,carolinii,1430,LC,NA
Theropoda,Gigantoraptor,erlianensis,1100,LC,NA
Theropoda,Haplocheirus,sollers,214,MJ,NA
Theropoda,Harpymimus,okladnikovi,267,EC,NA
Theropoda,Ingenia,yanshini,233,LC,NA
Theropoda,Jinfengopteryx,elegans,70,EC,NA
Theropoda,Linhenreptor,exquisitus,230,LC,NA
Theropoda,Microraptor,gui,105.7,EC,NA
Theropoda,Microraptor,zhaoianus,53,EC,NA
Theropoda,Microvenator,celer,124,EC,NA
Theropoda,Mononykus,olecranus,138.4,LC,NA
Theropoda,Nomingia,gobiensis,285,LC,NA
Theropoda,Ornithomimus,edmontonicus,435,LC,Dinosaur Park
Theropoda,Oviraptor,philoceratops,303,LC,NA
Theropoda,Protarchaeopteryx,robusta,122,EC,NA
Theropoda,Rinchenia,philiceratops,305,LC,NA
Theropoda,Saurornitholestes,langstoni,211,LC,Dinosaur Park
Theropoda,Segisaurus,halli,145,EJ,NA
Theropoda,Shuuvia,deserti,56,LC,NA
Theropoda,Similicaudipteryx,yixianensis,220,EC,NA
Theropoda,Sinornithoides,youngi,137,LC,NA
Theropoda,Sinornithoides,youngi,140,LC,NA
Theropoda,Sinornithomimus,dongi,323,EC,NA
Theropoda,Sinornithosaurus,millenii,149,EC,NA
Theropoda,Sinovenator ,changii,105,EC,NA
Theropoda,Struthiomimus,altus,655,LC,Dinosaur Park
Theropoda,Tianyuraptor,ostromi,210,EC,NA
Theropoda,Troodon,formosus,320,LC,Dinosaur Park
Theropoda,Unenlagia ,comahuensis,370,LC,NA
Theropoda,Velociraptor,mongoliensis,187,LC,NA
Theropoda,Xixianykus,zhangi,70,LC,NA
Theropoda,Acrocanthosaurus,atokensis,1277,EC,NA
Theropoda,Afrovenator,abakensis,760,EC,NA
Theropoda,Albertosaurus,sarcophagus,1020,LC,NA
Theropoda,Allosaurus,fragilis,742,LJ,Morrison
Theropoda,Aucasaurus,garridoi,700,LC,NA
Theropoda,Carnotaurus,sastrei,1030,LC,NA
Theropoda,Ceratosaurus,dentisulcatus,759,LJ,Morrison
Theropoda,Ceratosaurus,nasicornis,620,LJ,Morrison
Theropoda,Chilantaisaurus,tashuikouensis,1190,EC,NA
Theropoda,Coelophysis,bauri,245,LT,NA
Theropoda,Compsognathus,corallestris,110,LJ,NA
Theropoda,Compsognathus,longipes,71,LJ,NA
Theropoda,Daspletosaurus,torosus,1065,LC,Dinosaur Park
Theropoda,Deltadromeus,agilis,740,LC,NA
Theropoda,Dilong,paradoxus,185,EC,NA
Theropoda,Dilophosaurus,wetherilli,551,EJ,NA
Theropoda,Dryptosaurus,aquilungius,813,LC,NA
Theropoda,Elaphrosaurus,bambergi,529,LJ,NA
Theropoda,Eoraptor,lunensis,154,LT,NA
Theropoda,Eotyrannus,engi,508,EC,NA
Theropoda,Eustreptospondylus,oxoniensis,520,MJ,NA
Theropoda,Fukuiraptor,kitadaniensis,507,EC,NA
Theropoda,Gasosaurus,constructus,465,MJ,NA
Theropoda,Gorgosaurus,libratus,1030,LC,Dinosaur Park
Theropoda,Guaibasaurus,candelariensis,270,LT,NA
Theropoda,Guanlong,wucaii,408,MJ,NA
Theropoda,Herrerasaurus,ischigualestensis,478,LT,NA
Theropoda,Juravenator,starki,52,LJ,NA
Theropoda,Limusaurus,inextricabalis,214,MJ,NA
Theropoda,Mapusaurus rosei,rosei,1430,LC,NA
Theropoda,Masiakasaurus,knopfleri,105,LC,NA
Theropoda,Monolophosaurus,jiangi,595,MJ,NA
Theropoda,Nanotyrannus,lancensis,720,LC,NA
Theropoda,Nqwebasaurus,thwazi,118,"LJ,EC",NA
Theropoda,Nqwebasaurus,thwazi,118,"LJ,EC",NA
Theropoda,Ornitholestes,hermanni,207,LJ,Morrison
Theropoda,Piatnitzkysaurus,floresi,590,MJ,NA
Theropoda,Podokesaurus,holyokensis,86,EJ,NA
Theropoda,Procompsognathus,triassicus,93.1,LT,NA
Theropoda,Scipionyx,smaniticus,37.5,EC,NA
Theropoda,Shanshanosaurus,houanyoshanensis,279,LC,NA
Theropoda,Sinosauropteryx,prima,86.4,EC,NA
Theropoda,Sinosauropteryx,sp.,235,EC,NA
Theropoda,Sinosaurus,triassicus,545,NA,NA
Theropoda,Sinraptor,dongi,884,MJ,NA
Theropoda,Staurikosaurus,pricei,220,LT,NA
Theropoda,Suchomimus,tenerensis,1075,EC,NA
Theropoda,Syntarsus,rhodesiensis,208,EJ,NA
Theropoda,Tanycolagreus,topwilsoni,356,LJ,NA
Theropoda,Tarbosaurus,baatar,1120,LC,NA
Theropoda,Tyrannosaurus,rex,1321,LC,NA
Theropoda,Yunagchuanosaurus,hepingensis,980,LJ,NA
Sauropodomorpha,Aegyptosaurus,baharijensis,1290,LC,NA
Sauropodomorpha,Alamosaurus,sanjuanensis,1610,LC,NA
Sauropodomorpha,Amargasaurus,cazaui,1050,EC,NA
Sauropodomorpha,Ampelosaurus,atacis,802,LC,NA
Sauropodomorpha,Amphicoelias,altus,1770,LJ,Morrison
Sauropodomorpha,Andesaurus,delgadoi,1550,EC,NA
Sauropodomorpha,Antarctosaurus,wichmannianus,1770,LC,NA
Sauropodomorpha,Apatosaurus,ajax,2500,LJ,Morrison
Sauropodomorpha,Apatosaurus,excelsus,1830,LJ,Morrison
Sauropodomorpha,Apatosaurus,excelsus,1775,LJ,NA
Sauropodomorpha,Apatosaurus,louisae,1785,LJ,Morrison
Sauropodomorpha,Argyrosaurus,superbus,1910,LC,NA
Sauropodomorpha,Atlasaurus,imelakei,640,MJ,NA
Sauropodomorpha,Barapasaurus,tagorei,1365,EJ,NA
Sauropodomorpha,Barosaurus,africanus,1361,LJ,NA
Sauropodomorpha,Barosaurus,lentus,1440,LJ,Morrison
Sauropodomorpha,Bellusaurus,sui,550,MJ,NA
Sauropodomorpha,Bothriospondylus,madagascariensis,1460,LJ,NA
Sauropodomorpha,Brachiosaurus,altithorax,2000,LJ,Morrison
Sauropodomorpha,Camarasaurus,lentus,1470,LJ,Morrison
Sauropodomorpha,Camarasaurus,lewisi,1525,LJ,NA
Sauropodomorpha,Camarasaurus,supremus,1800,LJ,Morrison
Sauropodomorpha,Cetiosauriscus,stewarti,1360,MJ,NA
Sauropodomorpha,Cetiosaurus,oxoniensis,1660,MJ,NA
Sauropodomorpha,Chubutisaurus,insignis,1715,EC,NA
Sauropodomorpha,Datousaurus,bashanensis,1057,MJ,NA
Sauropodomorpha,Dicraeosaurus,hansemanni,1220,LJ,NA
Sauropodomorpha,Diplodocus,carnegeii,1542,LJ,Morrison
Sauropodomorpha,Diplodocus,longus,1645,LJ,Morrison
Sauropodomorpha,Euhelopus,zdanskyii,955,LJ,NA
Sauropodomorpha,Giraffatitan,brancai,2028,LJ,NA
Sauropodomorpha,Gongxianosaurus,shibeiensis,1164,EJ,NA
Sauropodomorpha,Haplocanthosaurus,delfsi,1745,LJ,Morrison
Sauropodomorpha,Haplocanthosaurus,priscus,1275,LJ,NA
