individualID,plotID,easting,northing,utmZone,height,stemDiameter
NEON.PLA.D01.HARV.05494,HARV_034,731763.9895232476,4713098.036682087,18N,13.075,14.65
NEON.PLA.D01.HARV.05468,HARV_034,731766.5283500158,4713112.3828336615,18N,17.6,37.7
NEON.PLA.D01.HARV.05102,HARV_034,731767.1659064528,4713097.896997638,18N,12.625,12.225
NEON.PLA.D01.HARV.05467,HARV_034,731765.9790412489,4713111.9468548475,18N,14.025,14.125
NEON.PLA.D01.HARV.05492,HARV_034,731761.2706453126,4713095.774958985,18N,27.025,34.55
NEON.PLA.D01.HARV.05487,HARV_034,731755.645725617,4713100.089938624,18N,14.375,11.25
NEON.PLA.D01.HARV.05101,HARV_034,731769.3034337542,4713102.58211326,18N,13.075,13.35
NEON.PLA.D01.HARV.05482,HARV_034,731758.4736320741,4713103.632261565,18N,15.524999999999999,14.75
NEON.PLA.D01.HARV.05484,HARV_034,731756.4235407185,4713096.866327318,18N,5.95,10.25
NEON.PLA.D01.HARV.05497,HARV_034,731762.5788705075,4713103.184532882,18N,26.1,29.775
NEON.PLA.D01.HARV.05495,HARV_034,731765.8094038845,4713098.215380484,18N,25.925,36.175
NEON.PLA.D01.HARV.05469,HARV_034,731765.3411443616,4713115.55028014,18N,26.675,37.4
NEON.PLA.D01.HARV.05105,HARV_034,731770.0362032807,4713098.660100364,18N,17.475,24.2
NEON.PLA.D01.HARV.05460,HARV_034,731768.0484341681,4713105.437121283,18N,1.9,34.36666666666667
NEON.PLA.D01.HARV.05491,HARV_034,731757.8851295989,4713098.234631003,18N,9.149999999999999,17.95
NEON.PLA.D01.HARV.05472,HARV_034,731758.8844102881,4713113.485377023,18N,11.275,14.05
NEON.PLA.D01.HARV.05463,HARV_034,731768.5682132045,4713109.540847791,18N,13.950000000000001,20.2
NEON.PLA.D01.HARV.05486,HARV_034,731755.7795301375,4713101.282786442,18N,20.425,18.8
NEON.PLA.D01.HARV.05480,HARV_034,731763.1324021169,4713105.078490629,18N,19.233333333333334,24.933333333333334
NEON.PLA.D01.HARV.05470,HARV_034,731762.1514135274,4713111.288899576,18N,17.25,29.45
NEON.PLA.D01.HARV.05471,HARV_034,731760.0932524842,4713110.803725722,18N,17.325,34.275
NEON.PLA.D01.HARV.05485,HARV_034,731757.1869979918,4713102.190824828,18N,16.825,35.75
NEON.PLA.D01.HARV.05481,HARV_034,731761.3843905055,4713104.405801572,18N,14.1,31.975
NEON.PLA.D01.HARV.05498,HARV_034,731764.2248073176,4713103.905798201,18N,18.125,21.95
NEON.PLA.D01.HARV.05493,HARV_034,731762.6878194887,4713096.569126125,18N,20.275,31.55
NEON.PLA.D01.HARV.05488,HARV_034,731762.7327779691,4713100.6597118275,18N,9.625,19.150000000000002
NEON.PLA.D01.HARV.05464,HARV_034,731770.9865067825,4713110.842743437,18N,14.2,18.375
NEON.PLA.D01.HARV.05103,HARV_034,731767.727627162,4713097.371820722,18N,27.025,31.674999999999997
NEON.PLA.D01.HARV.05500,HARV_034,731771.1489294023,4713102.832694739,18N,25.15,32.975
NEON.PLA.D01.HARV.05478,HARV_034,731760.1860250026,4713107.468079679,18N,18.1,20.35
NEON.PLA.D01.HARV.05458,HARV_034,731763.1275252674,4713107.849049728,18N,11.225,10.725
NEON.PLA.D01.HARV.05490,HARV_034,731758.2273091618,4713098.599518589,18N,14.825,15.575
