continent	status	order	family	genus	species	mass	reference
AF	extant	Artiodactyla	Bovidae	Addax	nasomaculatus	70000.3	60
AF	extant	Artiodactyla	Bovidae	Aepyceros	melampus	52500.1	63, 70
AF	extant	Artiodactyla	Bovidae	Alcelaphus	buselaphus	171001.5	63, 70
AF	extant	Artiodactyla	Bovidae	Ammodorcas	clarkei	28049.8	60
AF	extant	Artiodactyla	Bovidae	Ammotragus	lervia	48000	75
AF	extant	Artiodactyla	Bovidae	Antidorcas	marsupialis	39049.9	60
AF	extinct	Artiodactyla	Bovidae	Antidorcas	bondi	34000	1
AF	extinct	Artiodactyla	Bovidae	Antidorcas	australis	40000	2
AF	extant	Artiodactyla	Bovidae	Bos	taurus	900000	-999
AF	extant	Artiodactyla	Bovidae	Capra	walie	100000	-999
AF	extant	Artiodactyla	Bovidae	Capra	ibex	100999.7	65
AF	extant	Artiodactyla	Bovidae	Capra	nubiana	78999.7	70
AF	extant	Artiodactyla	Bovidae	Cephalophus	weynsi	-999	-999
AF	extant	Artiodactyla	Bovidae	Cephalophus	dorsalis	20000	60
AF	extant	Artiodactyla	Bovidae	Cephalophus	leucogaster	12699.9	60
AF	extant	Artiodactyla	Bovidae	Cephalophus	monticola	6250	60
AF	extant	Artiodactyla	Bovidae	Cephalophus	natalensis	12000	60
AF	extant	Artiodactyla	Bovidae	Cephalophus	niger	20400	60
AF	extant	Artiodactyla	Bovidae	Cephalophus	nigrifrons	13899.8	60
AF	extant	Artiodactyla	Bovidae	Cephalophus	rubidus	15000	60
AF	extant	Artiodactyla	Bovidae	Cephalophus	silvicultor	72500.3	60
AF	extant	Artiodactyla	Bovidae	Cephalophus	jentinki	70000.3	65
AF	extant	Artiodactyla	Bovidae	Cephalophus	zebra	17500.1	65
AF	extant	Artiodactyla	Bovidae	Cephalophus	adersi	9250	63, 70
AF	extant	Artiodactyla	Bovidae	Cephalophus	callipygus	18249.9	63, 70
AF	extant	Artiodactyla	Bovidae	Cephalophus	harveyi	14500.1	63, 70
AF	extant	Artiodactyla	Bovidae	Cephalophus	maxwellii	12000	63, 70
AF	extant	Artiodactyla	Bovidae	Cephalophus	ogilbyi	20000	63, 70
AF	extant	Artiodactyla	Bovidae	Cephalophus	rufilatus	12000	63, 70
AF	extant	Artiodactyla	Bovidae	Cephalophus	spadix	56000.3	63, 70
AF	extant	Artiodactyla	Bovidae	Connochaetes	gnou	179999	60
AF	extant	Artiodactyla	Bovidae	Connochaetes	taurinus	179999	63, 70
AF	extant	Artiodactyla	Bovidae	Damaliscus	pygargus	102000	75
AF	extant	Artiodactyla	Bovidae	Damaliscus	hunteri	80000	63, 70
AF	extant	Artiodactyla	Bovidae	Damaliscus	lunatus	136000.3	63, 70
AF	extant	Artiodactyla	Bovidae	Dorcatragus	megalotis	10249.9	65
