"code_vernacular","vernacular_name","scientific_name"
25,"Gboyo","Eribroma oblongum (Mast.) Pierre ex A.Chev."
325,"Toukoulou","Lecaniodiscus cupanioides Planch."
33,"Mossoba","Petersianthus macrocarpus (P.Beauv.) Liben"
300,"Pakagamba","Trichilia prieuriana A. Juss."
162,"Kombo","Musanga cecropioides R.Br."
559,"Molokolo","Coelocaryon preussii Warb."
26,"Bingo","Diospyros crassiflora Hiern"
218,"Mobili","Aubrevillea kerstingii (Harms) Pellegr."
9,"Tola","Pterocarpus soyauxii Taub."
262,"Mossomé","Hexalobus monopetalus (A.Rich.) Engl. & Diels"
277,"Ngalé","Garcinia punctata Oliv."
143,"Gbézélago","Pancovia laurentii (De Wild.) Gilg ex De Wild."
303,"Pessi","Carapa procera DC."
34,"Mongodou","Antiaris africana Engl."
279,"Nganza, Mokossokosso","Pausinystalia macroceras (K.Schum.) Pierre"
306,"Poungui","Bosqueia angolensis Ficalho"
0,,"NA"
266,"Moyembéyembé","Trichilia rubescens Oliv."
216,"Mobedemboko","Dasylepis seretii De Wild."
12,"Bonde","Morus mesozygia Stapf"
209,"Mélassomba","Drypetes Vahl"
227,"Mokaïnzokou","Dialium guineense Willd."
22,"Molanga","Staudtia kamerunensis Warb."
109,"Bonda","Celtis zenkeri Engl."
36,"Mako","Cola nitida (Vent.) Schott & Endl."
1,"Mboyo","Entandrophragma cylindricum (Sprague) Sprague"
224,"Mofambi","Homalium Jacq., Ochthocosmus africanus Hook.f., Scottellia coriacea A.Chev. ex Hutch. & Dalziel"
243,"Monzéké","Celtis adolfi-friderici Engl."
19,"Kolo","Pycnanthus angolensis (Welw.) Warb."
569,"Molokoza","Radlkofera calodendron Gilg"
29,"Bolongo","Fagara lemairei De Wild."
221,"Modiki","Myrianthus arboreus P.Beauv."
145,"Goué","Zanha golungensis Hiern"
231,"Mokpakpi","Desplatsia dewevrei (De Wild. & T.Durand) Burret"
265,"Moyékélékoli","Corynanthe pachyceras K.Schum."
287,"Ngombé","Celtis mildbraedii Engl."
35,"Mondembo","Funtumia elastica (P.Preuss) Stapf"
17,"Nganga","Terminalia superba Engl. & Diels"
204,"Mbégné","Guarea laurentii De Wild."
21,"Mboboko","Ricinodendron heudelotii (Baill.) Pierre ex Heckel"
14,"Kassa","Erythrophleum ivorense A.Chev., Erythrophleum suaveolens (Guill. & Perr.) Brenan"
43,"Monzounzé","Gambeya africana (A.DC.) Pierre"
32,"Gbana","Ongokea gore (Hua) Pierre"
4,"Kanga","Entandrophragma angolense (Welw.) C.DC."
42,"Mobambou","Gambeya lacourtiana (De Wild.) Aubrév. & Pellegr."
313,"Siko","Strombosia grandifolia Hook.f."
40,"Mboulou","Aningeria altissima (A.Chev.) Aubrév. & Pellegr."
3,"Kangabona","Entandrophragma candollei Harms"
220,"Modiengué","Polyalthia suaveolens Engl. & Diels"
271,"Ndambadiki","Amphimas pterocarpoides Harms"
296,"Nzongo","Drypetes gossweileri S.Moore"
713,"Molosiko","Strombosiopsis tetrandra Engl."
8,"Mokoko","Chlorophora excelsa (Welw.) Benth. & Hook.f."
330,"Yendé","Phyllanthus discoideus (Baill.) Müll.Arg."
