"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocolVersion","identificationReferences","remarks","duplicateNightQF"
"7EDC6905668A4227A2E2FAA72ACB6452","D03","OSBS","OSBS_004","2013-07-09",1,"MAM.OSBS.2013.07",100,8,92,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 protocol format",0
"A45035990E2C466FA0798AE4F3982C50","D03","OSBS","OSBS_002","2013-07-09",1,"MAM.OSBS.2013.07",100,2,98,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY.) ","2013 updated to 2014 protocol format.",0
"496C83E5382D4B1AA0D3B55569E969A3","D03","OSBS","OSBS_004","2013-07-10",2,"MAM.OSBS.2013.07",100,7,93,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 data format",0
"2A1206E4C3874FA4AD0C7045A910F2B2","D03","OSBS","OSBS_002","2013-07-10",2,"MAM.OSBS.2013.07",100,3,97,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2031 updated to 2014 protocol format",0
"D42E4540D1C9415CB266DFD8ED6403EA","D03","OSBS","OSBS_004","2013-07-11",3,"MAM.OSBS.2013.07",100,1,99,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 data format",0
"A97991DB2A1D4D1EB75400CF8508CAE2","D03","OSBS","OSBS_002","2013-07-11",3,"MAM.OSBS.2013.07",100,0,100,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 protocol/ data format",0
"97E1140BAC034512A5C7AC7AD86246F6","D03","OSBS","OSBS_023","2013-07-12",1,"MAM.OSBS.2013.07",100,1,99,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 data format",0
"6BB0E6DCEE7D46E28475C4AAD825A455","D03","OSBS","OSBS_023","2013-07-13",2,"MAM.OSBS.2013.07",100,0,100,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 data format",0
"EC6AB3AAB2BD46109F493F9D79CC4B7A","D03","OSBS","OSBS_012","2013-07-13",1,"MAM.OSBS.2013.07",100,0,100,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 format. no captures",0
"7E5F8CDFD8734F65B066DF10F0C4E489","D03","OSBS","OSBS_012","2013-07-14",2,"MAM.OSBS.2013.07",0,0,0,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY",,0
"8B0D6DE4274B4B7E8E5661C4E2D40FD7","D03","OSBS","OSBS_023","2013-07-14",3,"MAM.OSBS.2013.07",0,0,0,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","pulled due to storm",0
"86B03469CBD34AA49E82C50A43A28256","D03","OSBS","OSBS_012","2013-08-12",1,"MAM.OSBS.2013.08",100,0,100,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 data format",0
"E0A70F529F2F4F3CACBAFD222E4728AE","D03","OSBS","OSBS_003","2013-08-13",1,"MAM.OSBS.2013.08",100,2,98,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 data format",0
"F9DFEE355020405BB517708D14428C47","D03","OSBS","OSBS_005","2013-08-13",1,"MAM.OSBS.2013.08",0,0,0,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","not set due to storm",0
"C55238AF221446E1930A6D5C18491898","D03","OSBS","OSBS_005","2013-08-14",2,"MAM.OSBS.2013.08",100,0,100,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 20144 data format",0
"B484B1EF4AB34A309D280198C96F1DA2","D03","OSBS","OSBS_003","2013-08-14",2,"MAM.OSBS.2013.08",100,0,100,,"Reid, F. 2006. Peterson Field Guide to Mammals of North America. 4th Ed. Houghton Mifflin Company, New York, NY","2013 updated to 2014 data format",0
