"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","tagID","individualNid","taxonID","scientificName","taxonRank","identificationQualifier","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","larvalTicksAttached","nymphalTicksAttached","adultTicksAttached","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF","duplicateTrapCoordinateQF","idqQF"
"2BE29FA780804D849B3A6D847665B018","D03","OSBS","OSBS_004","B3","evergreenForest",29.683140,-81.958498,"WGS84",,40.1,,"2013-07-09","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"M","N","N",,,"adult","nonscrotal",,,,24,,,,31,,,,,"retroorbital",,"fresh",,,,,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","Idq:CB",0,0,0,-1,0,,
"FB556D8D3D6A4A51B696CD2E838489AD","D03","OSBS","OSBS_004","A2","evergreenForest",29.683230,-81.958602,"WGS84",,40.0,,"2013-07-09","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"F","N","N",,,"adult",,"nonenlarged","not","neither",24,,75,,28,,,,,"retroorbital",,"fresh",,,,,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","Idq: CB",-1,1,1,-1,0,,
"B2BF7E4609024337A9573FBDE6D098CD","D03","OSBS","OSBS_002","E6","evergreenForest",29.705010,-81.956249,"WGS84",,32.0,,"2013-07-09","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"F","N","N",,,"adult",,"nonenlarged","not","neither",23,,,,30,,,,,"retroorbital",,"fresh",,,,,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","Ear tag may fall off. Idq:CB.",0,0,0,-1,0,,
"7D78F228408D41ADAAF472C833581845","D03","OSBS","OSBS_002","I4","evergreenForest",29.705193,-81.955837,"WGS84",,32.0,,"2013-07-09","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"F","N","N",,,"adult",,"nonenlarged","not","neither",24,,70,,39,,,,,"retroorbital",,"fresh",,,,,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","Idq: CB.",0,0,1,-1,0,,
"616BAF2EC3A74C6BBEAF05B6CE8FA926","D03","OSBS","OSBS_002","B1","evergreenForest",29.705459,-81.956563,"WGS84",,32.0,,"2013-07-09","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"M","N","N",,,"adult","nonscrotal",,,,25,,83,,33,,,,,,,,,,,,"F/6MQogm4SruoS1iHbVwBrp7bVAGMrci","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","no samples. only measurements. Idq: CB.",0,0,0,-1,0,,
"A0C6239E1C4D4B49AE4D3E666C90B4D2","D03","OSBS","OSBS_002","H7","evergreenForest",29.704922,-81.955938,"WGS84",,32.0,,"2013-07-10","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"F","N","Y",,,,,,"not",,23,,,,35,,,,,,,"fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","5: trap id suspect. Probably a POFL. Idq: CB. ",0,0,1,-1,0,,
"B1DF377719EF449B9DA6AD4202D19C64","D03","OSBS","OSBS_004","D1","evergreenForest",29.683322,-81.958293,"WGS84",,39.8,,"2013-07-10","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"U","N","Y",,,,,,"not",,,,,,,,,,,,,"fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K","5: trap ID suspect probably a POFL. Idq: CB",-1,1,1,-1,0,,
"C8A6124DE8904B87B021E4E1AB040E7C","D03","OSBS","OSBS_004","A7","evergreenForest",29.682779,-81.958598,"WGS84",,40.6,,"2013-07-11","MAM.OSBS.2013.07",,,"POFL","Podomys floridanus","species",,"M","R","N",,,"adult","scrotal",,,,26,20,86,,34,,,,,"retroorbital",,"fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0,,
"2EF75914D25043AF8C01D0812CE24675","D03","OSBS","OSBS_004","I9","evergreenForest",29.682604,-81.957769,"WGS84",,40.6,,"2013-07-11","MAM.OSBS.2013.07",,,"POFL","Podomys floridanus","species",,"F","N","N",,,"adult",,"nonenlarged","not","neither",23,,,,38,,,,,"retroorbital",,"fresh",,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,0,0,0,-1,0,,
"75FCBD6CACAD409195684ED13DBE15CD","D03","OSBS","OSBS_004","J1","evergreenForest",29.683327,-81.957673,"WGS84",,39.6,,"2013-07-11","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,,"N","Y",,,,,,"not",,,,,,,,,,,,,,,,,,"Og6WBnpVjODUH13MWbFaL/CkHIfmSZ72","ZatnMAVjxd5EQfIktDH7rfXJVi88O90K",,-1,1,1,-1,0,,
"825D18A6ABB241BBAA645B4DFF2B2963","D03","OSBS","OSBS_023","B5","emergentHerbaceousWetlands",29.723543,-81.984727,"WGS84",,32.0,,"2013-07-12","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"M","N","N",,,"subadult","nonscrotal",,,,18,13,27,112,29,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","F/6MQogm4SruoS1iHbVwBrp7bVAGMrci",,0,0,0,-1,0,,
"F0A334FFA83948DC9225C2FE99CA4676","D03","OSBS","OSBS_023","E1","emergentHerbaceousWetlands",29.723906,-81.984421,"WGS84",,32.0,,"2013-07-12","MAM.OSBS.2013.07",,,"PEGO","Peromyscus gossypinus","species",,"M","N","N",,,"subadult","nonscrotal",,,,20,13,61,133,18,,,,,,,,,,,,"B39Fz+6ICuzsBzlHVUgoASwdeU6J+1wE","F/6MQogm4SruoS1iHbVwBrp7bVAGMrci",,0,0,0,-1,0,,
