SPCODE	SPECIES
abba	Abies balsamea
acru	Acer rubrum
acsa	Acer saccharum
acsp	Acer spicatum
alnu	Alnus incana
amel	Amelanchier sp
belu	Betula alleghaniensis
coal	Cornus alternifolia
coco	Corylus cornuta
coru	Cornus rugosa
cost	Cornus stolonifera
fagr	Fagus grandifolia
fram	Fraxinus americana
frni	Fraxinus nigra
frpe	Fraxinus pennsylvanica
lala	Larix laricina
nemu	Nemopanthus mucronata
osvi	Ostra virginiana
pigl	Picea glauca
pima	Picea mariana
pist	Pinus strobus
poba	Populus banksiana
prpe	Prunus pensylvanica
prse	Prunus serotina
prvi	Prunus virginiana
qubo	Quercus rubra
soam	Sorbus americana
thoc	Thuja occidentalis
tiam	Tilia americana
tsca	Tsuga canadensis
ulam	Ulmus americana
unkn	unknown (dead)
