Year	Plot	Species	DBH
1993	4705	abba	1.5
1993	4705	abba	7.2
1993	4705	abba	9.4
1993	4705	abba	10.7
1993	4705	abba	14.1
1993	4705	abba	16.2
1993	4705	abba	17.8
1993	4705	abba	21.5
1993	4705	acru	1.3
1993	4705	acru	1.4
1993	4705	acru	2.6
1993	4705	acru	4
1993	4705	acru	16.8
1993	4705	acru	32.5
1993	4705	acru	33.1
1993	4705	acsa	1
1993	4705	acsa	1
1993	4705	acsa	1.2
1993	4705	acsa	1.3
1993	4705	acsa	1.3
1993	4705	acsa	1.4
1993	4705	acsa	1.6
1993	4705	acsa	1.6
1993	4705	acsa	1.8
1993	4705	acsa	1.8
1993	4705	acsa	1.8
1993	4705	acsa	2.4
1993	4705	acsa	2.7
1993	4705	acsa	2.7
1993	4705	acsa	3.2
1993	4705	acsa	4.3
1993	4705	acsa	5.3
1993	4705	acsa	5.3
1993	4705	acsa	5.7
1993	4705	acsa	7.4
1993	4705	acsa	8.5
1993	4705	acsa	8.5
1993	4705	acsa	15.8
1993	4705	acsa	16.3
1993	4705	acsa	17
1993	4705	acsa	35.9
1993	4705	acsa	41.2
1993	4705	acsa	45.7
1993	4705	acsp	1.6
1993	4705	acsp	1.7
1993	4705	belu	8.8
1993	4705	belu	18.1
1993	4705	belu	20.4
1993	4705	belu	20.5
1993	4705	belu	22.3
1993	4705	belu	36.7
1993	4705	belu	58.7
1993	4705	belu	81.1
1993	4705	coco	1
1993	4705	coco	1.3
1993	4705	fagr	1
1993	4705	fagr	1.1
1993	4705	fagr	1.1
1993	4705	fagr	1.5
1993	4705	fagr	2.3
1993	4705	fagr	5.7
1993	4705	fagr	6.4
1993	4705	fagr	9.3
1993	4705	fagr	15.5
1993	4705	fagr	18.4
1993	4705	fagr	53.5
1993	4705	frni	16.2
1993	4705	frni	20.8
1993	4705	frni	22.3
1993	4705	frni	28.6
1993	4705	frni	32.8
1993	4705	frni	45.2
1993	4705	pigl	11.7
1993	4705	pigl	24.3
1993	4705	thoc	49.3
1993	4705	tiam	5.6
1993	4705	tiam	19.8
1993	4705	tsca	30.1
1993	4705	tsca	32.5
1993	4709	abba	1.5
1993	4709	abba	5.3
1993	4709	abba	7
1993	4709	abba	7.5
1993	4709	abba	8.9
1993	4709	abba	13.5
1993	4709	abba	16.1
1993	4709	abba	19
1993	4709	abba	19.5
1993	4709	abba	20.8
1993	4709	abba	23.5
1993	4709	abba	24.4
1993	4709	abba	24.6
1993	4709	acru	4.3
1993	4709	acru	4.5
