                      X1     X2     X3     X4     X5
HARV_NDVI_2015001 0.6924 0.6476 0.6637 0.5612 0.6924
HARV_NDVI_2015017 0.6276 0.6675 0.6653 0.4880 0.7116
HARV_NDVI_2015033 0.5613 0.4496 0.4303 0.7340 0.7555
HARV_NDVI_2015049 0.7299 0.7554 0.3996 0.3253 0.5300
HARV_NDVI_2015065 0.8750 0.6986 0.9248 0.9680 0.5074
HARV_NDVI_2015081 0.7660 0.5015 0.6102 0.4812 0.6172
HARV_NDVI_2015097 0.6893 0.6254 0.6580 0.5460 0.6279
HARV_NDVI_2015113 0.6903 0.6240 0.6272 0.5126 0.5503
HARV_NDVI_2015129 0.8167 0.8567 0.8407 0.8620 0.8474
HARV_NDVI_2015145 0.8769 0.8697 0.8553 0.8865 0.8666
HARV_NDVI_2015161 0.8895 0.7455 0.9104 0.9012 0.8627
HARV_NDVI_2015177 0.8833 0.8872 0.8754 0.8986 0.8967
HARV_NDVI_2015193 0.8774 0.8746 0.8667 0.8943 0.8954
HARV_NDVI_2015209 0.8959 0.9052 0.8717 0.9157 0.8995
HARV_NDVI_2015225 0.8880 0.8777 0.8634 0.8979 0.8802
HARV_NDVI_2015241 0.8588 0.8891 0.8540 0.8948 0.8897
HARV_NDVI_2015257 0.8692 0.8655 0.8508 0.8864 0.8949
HARV_NDVI_2015273 0.8028 0.8250 0.8100 0.8625 0.8512
HARV_NDVI_2015289 0.7228 0.7403 0.7701 0.8082 0.7734
HARV_NDVI_2015305 0.7197 0.7343 0.6846 0.6678 0.7009
HARV_NDVI_2015321 0.7250 0.7374 0.6784 0.6352 0.7263
HARV_NDVI_2015337 0.6684 0.6782 0.6600 0.5829 0.6200
HARV_NDVI_2015353 0.6668 0.6871 0.6777 0.5687 0.6282

                      X1     X2     X3     X4     X5
SJER_NDVI_2015001 0.6510 0.6793 0.6493 0.6781 0.6372
SJER_NDVI_2015017 0.6860 0.6652 0.6790 0.6828 0.6436
SJER_NDVI_2015033 0.7087 0.6922 0.7507 0.7201 0.6677
SJER_NDVI_2015049 0.7556 0.7065 0.7493 0.7549 0.7064
SJER_NDVI_2015065 0.7423 0.6858 0.7163 0.7148 0.6804
SJER_NDVI_2015081 0.6676 0.5839 0.6648 0.5969 0.5938
SJER_NDVI_2015097 0.6022 0.4683 0.5093 0.4837 0.4673
SJER_NDVI_2015113 0.4473 0.4219 0.4330 0.4590 0.4193
SJER_NDVI_2015129 0.4034 0.3837 0.3912 0.4075 0.3965
SJER_NDVI_2015145 0.3763 0.3685 0.3646 0.3678 0.3550
SJER_NDVI_2015161 0.3482 0.3322 0.3300 0.3485 0.3399
SJER_NDVI_2015177 0.3543 0.3543 0.3427 0.3458 0.3387
SJER_NDVI_2015193 0.3677 0.3461 0.3340 0.3468 0.3389
SJER_NDVI_2015209 0.3459 0.3444 0.3414 0.3529 0.3341
SJER_NDVI_2015225 0.3239 0.3137 0.3126 0.3220 0.3421
SJER_NDVI_2015241 0.3423 0.3302 0.3086 0.3468 0.3394
SJER_NDVI_2015257 0.3543 0.3428 0.3317 0.3542 0.3420
SJER_NDVI_2015273 0.3497 0.3511 0.3251 0.3603 0.3517
SJER_NDVI_2015289 0.3586 0.3430 0.3337 0.3597 0.3392
SJER_NDVI_2015305 0.4179 0.3971 0.4447 0.4045 0.3862
SJER_NDVI_2015321 0.5442 0.5092 0.5541 0.5938 0.5149
SJER_NDVI_2015337 0.5670 0.5386 0.6054 0.5753 0.5189
SJER_NDVI_2015353 0.6125 0.6069 0.6654 0.6650 0.5990
