   year species_id avg_weight
1  1977         DS  121.43750
2  1978         DS  115.19865
3  1979         DS  111.79695
4  1980         DS  120.72566
5  1981         DS  125.81844
6  1982         DS  115.64793
7  1983         DS  122.03309
8  1984         DS  124.08219
9  1985         DS  124.32632
10 1986         DS  128.07143
11 1987         DS  126.38384
12 1988         DS  129.49057
13 1989         DS  121.89655
14 1990         DS  121.18750
15 1991         DS  113.00000
16 1992         DS  112.35294
17 1993         DS  105.72222
18 1994         DS  106.62500
19 1997         DS  111.00000
20 1998         DS  116.00000
21 1999         DS  120.71429
22 1977         OT   21.00000
23 1978         OT   23.22000
24 1979         OT   23.07576
25 1980         OT   24.08333
26 1981         OT   24.41538
27 1982         OT   24.92553
28 1983         OT   24.69767
29 1984         OT   22.41667
30 1985         OT   22.06452
31 1986         OT   21.50000
32 1987         OT   23.06977
33 1988         OT   24.07059
34 1989         OT   24.66337
35 1990         OT   23.67532
36 1991         OT   24.58824
37 1992         OT   24.92857
38 1993         OT   22.36364
39 1994         OT   25.28571
40 1995         OT   24.86842
41 1996         OT   23.45370
42 1997         OT   24.78516
43 1998         OT   24.67568
44 1999         OT   25.72381
45 2000         OT   25.30345
46 2001         OT   23.70779
47 2002         OT   23.83333
48 1977         PE   19.50000
49 1978         PE   20.42857
50 1979         PE   20.52941
51 1980         PE   22.45000
52 1981         PE   20.55814
53 1982         PE   21.17308
54 1983         PE   20.86486
55 1984         PE   20.21053
56 1985         PE   20.36000
57 1986         PE   22.52000
58 1987         PE   21.62590
59 1988         PE   22.62567
60 1989         PE   21.93567
61 1990         PE   21.67123
62 1991         PE   21.43548
63 1992         PE   22.75000
64 1993         PE   19.23077
65 1994         PE   18.00000
66 1995         PE   21.23077
67 1996         PE   22.02778
68 1997         PE   20.92982
69 1998         PE   20.30435
70 1999         PE   25.42857
71 2000         PE   21.61538
72 2001         PE   20.40000
73 2002         PE   21.71930
74 1977         PP   15.33333
75 1978         PP   14.86957
76 1979         PP   15.10526
77 1980         PP   14.17647
78 1981         PP   13.95000
79 1982         PP   16.12500
80 1983         PP   15.46875
81 1984         PP   15.30769
82 1985         PP   15.76471
83 1986         PP   16.75000
84 1987         PP   17.84091
85 1988         PP   18.28000
86 1989         PP   17.40909
87 1990         PP   16.02941
88 1991         PP   17.90476
89 1992         PP   17.47967
90 1993         PP   17.95402
91 1994         PP   17.58571
92 1995         PP   16.84444
93 1996         PP   18.09556
94 1997         PP   18.17500
95 1998         PP   16.26699
96 1999         PP   16.52121
97 2000         PP   16.78862
98 2001         PP   17.75290
99 2002         PP   17.01862
