"","genus","species"
"1","Ctenodactylus","gundi"
"2","Ctenodactylus","vali"
"3","Felovia","vae"
"4","Massoutiera","mzabi"
"5","Pectinator","spekei"
"6","Laonastes","aenigmamus"
"7","Bathyergus","janetta"
"8","Bathyergus","suillus"
"9","Cryptomys","bocagei"
"10","Cryptomys","damarensis"
"11","Cryptomys","foxi"
"12","Cryptomys","hottentotus"
"13","Cryptomys","mechowi"
"14","Cryptomys","ochraceocinereus"
"15","Cryptomys","zechi"
"16","Fukomys","amatus"
"17","Fukomys","anselli"
"18","Fukomys","bocagei"
"19","Fukomys","damarensis"
"20","Fukomys","darlingi"
"21","Fukomys","foxi"
"22","Fukomys","ilariae"
"23","Fukomys","kafuensis"
"24","Fukomys","mechowii"
"25","Fukomys","micklemi"
"26","Fukomys","occlusus"
"27","Fukomys","ochraceocinereus"
"28","Fukomys","whytei"
"29","Fukomys","zechi"
"30","Georychus","capensis"
"31","Heliophobius","argenteocinereus"
"32","Heterocephalus","glaber"
"33","Atherurus","africanus"
"34","Atherurus","macrourus"
"35","Hystrix","crassispinis"
"36","Hystrix","pumila"
"37","Hystrix","sumatrae"
"38","Hystrix","brachyura"
"39","Hystrix","javanica"
"40","Hystrix","africaeaustralis"
"41","Hystrix","cristata"
"42","Hystrix","indica"
"43","Trichys","fasciculata"
"44","Petromus","typicus"
"45","Thryonomys","gregorianus"
"46","Thryonomys","swinderianus"
"47","Chaetomys","subspinosus"
"48","Coendou","bicolor"
"49","Coendou","nycthemera"
"50","Coendou","prehensilis"
"51","Coendou","rothschildi"
"52","Echinoprocta","rufescens"
"53","Erethizon","dorsatum"
"54","Sphiggurus","ichillus"
"55","Sphiggurus","insidiosus"
"56","Sphiggurus","melanurus"
"57","Sphiggurus","mexicanus"
"58","Sphiggurus","pruinosus"
"59","Sphiggurus","roosmalenorum"
"60","Sphiggurus","spinosus"
"61","Sphiggurus","vestitus"
"62","Sphiggurus","villosus"
"63","Chinchilla","brevicaudata"
"64","Chinchilla","lanigera"
"65","Lagidium","peruanum"
"66","Lagidium","viscacia"
"67","Lagidium","wolffsohni"
"68","Lagostomus","maximus"
"69","Dinomys","branickii"
"70","Cavia","aperea"
"71","Cavia","fulgida"
"72","Cavia","intermedia"
"73","Cavia","magna"
"74","Cavia","porcellus"
"75","Cavia","tschudii"
"76","Galea","flavidens"
"77","Galea","musteloides"
"78","Galea","spixii"
"79","Microcavia","australis"
"80","Microcavia","niata"
"81","Microcavia","shiptoni"
"82","Dolichotis","patagonum"
"83","Dolichotis","salinicola"
"84","Hydrochoerus","hydrochaeris"
"85","Kerodon","rupestris"
"86","Kerodon","acrobata"
"87","Dasyprocta","azarae"
"88","Dasyprocta","coibae"
"89","Dasyprocta","cristata"
"90","Dasyprocta","fuliginosa"
"91","Dasyprocta","guamara"
"92","Dasyprocta","kalinowskii"
"93","Dasyprocta","leporina"
"94","Dasyprocta","mexicana"
"95","Dasyprocta","prymnolopha"
"96","Dasyprocta","punctata"
"97","Dasyprocta","ruatanica"
"98","Myoprocta","pratti"
"99","Myoprocta","acouchy"
"100","Cuniculus","paca"
"101","Cuniculus","taczanowskii"
"102","Ctenomys","argentinus"
"103","Ctenomys","australis"
"104","Ctenomys","azarae"
"105","Ctenomys","boliviensis"
"106","Ctenomys","bonettoi"
"107","Ctenomys","brasiliensis"
"108","Ctenomys","colburni"
"109","Ctenomys","conoveri"
"110","Ctenomys","dorsalis"
"111","Ctenomys","emilianus"
"112","Ctenomys","frater"
"113","Ctenomys","fulvus"
"114","Ctenomys","haigi"
"115","Ctenomys","knighti"
"116","Ctenomys","latro"
"117","Ctenomys","leucodon"
"118","Ctenomys","lewisi"
"119","Ctenomys","magellanicus"
"120","Ctenomys","maulinus"
"121","Ctenomys","mendocinus"
"122","Ctenomys","minutus"
"123","Ctenomys","nattereri"
"124","Ctenomys","occultus"
"125","Ctenomys","opimus"
"126","Ctenomys","pearsoni"
"127","Ctenomys","perrensis"
"128","Ctenomys","peruanus"
"129","Ctenomys","pontifex"
"130","Ctenomys","porteousi"
"131","Ctenomys","rionegrensis"
"132","Ctenomys","saltarius"
"133","Ctenomys","sericeus"
"134","Ctenomys","sociabilis"
"135","Ctenomys","steinbachi"
"136","Ctenomys","talarum"
"137","Ctenomys","torquatus"
"138","Ctenomys","tuconax"
"139","Ctenomys","tucumanus"
"140","Ctenomys","validus"
"141","Aconaemys","fuscus"
"142","Aconaemys","porteri"
"143","Aconaemys","sagei"
"144","Octodon","bridgesi"
"145","Octodon","degus"
"146","Octodon","lunatus"
"147","Octodon","pacificus"
"148","Octodontomys","gliroides"
"149","Octomys","mimax"
"150","Pipanacoctomys","aureus"
"151","Salinoctomys","loschalchalerosorum"
"152","Spalacopus","cyanus"
"153","Tympanoctomys","barrerae"
"154","Abrocoma","bennettii"
"155","Abrocoma","boliviensis"
"156","Abrocoma","budini"
"157","Abrocoma","cinerea"
"158","Abrocoma","famatina"
"159","Abrocoma","schistacea"
"160","Abrocoma","uspallata"
"161","Abrocoma","vaccarum"
"162","Cuscomys","ashanika"
"163","Dactylomys","boliviensis"
"164","Dactylomys","dactylinus"
"165","Dactylomys","peruanus"
"166","Kannabateomys","amblyonyx"
"167","Olallamys","albicauda"
"168","Olallamys","edax"
"169","Callistomys","pictus"
"170","Diplomys","caniceps"
"171","Diplomys","labilis"
"172","Diplomys","rufodorsalis"
"173","Echimys","chrysurus"
"174","Echimys","pictus"
"175","Echimys","saturnus"
"176","Isothrix","barbarabrownae"
"177","Isothrix","bistriata"
"178","Isothrix","negrensis"
"179","Isothrix","pagurus"
"180","Isothrix","sinnamariensis"
"181","Makalata","didelphoides"
"182","Makalata","occasius"
"183","Makalata","rhipidura"
"184","Pattonomys","occasius"
"185","Pattonomys","semivillosus"
"186","Phyllomys","blainvilii"
"187","Phyllomys","brasiliensis"
"188","Phyllomys","dasythrix"
"189","Phyllomys","kerri"
"190","Phyllomys","lamarum"
"191","Phyllomys","lundi"
"192","Phyllomys","mantiqueirensis"
"193","Phyllomys","medius"
"194","Phyllomys","nigrispinus"
"195","Phyllomys","pattoni"
"196","Phyllomys","thomasi"
"197","Phyllomys","unicolor"
"198","Santamartamys","rufodorsalis"
"199","Toromys","grandis"
"200","Carterodon","sulcidens"
"201","Clyomys","bishopi"
"202","Clyomys","laticeps"
"203","Euryzygomatomys","spinosus"
"204","Lonchothrix","emiliae"
"205","Mesomys","hispidus"
"206","Mesomys","leniceps"
"207","Mesomys","occultus"
"208","Mesomys","stimulax"
"209","Proechimys","amphichoricus"
"210","Proechimys","brevicauda"
"211","Proechimys","canicollis"
"212","Proechimys","cayennensis"
"213","Proechimys","chrysaeolus"
"214","Proechimys","cuvieri"
"215","Proechimys","decumanus"
"216","Proechimys","echinothrix"
"217","Proechimys","gardneri"
"218","Proechimys","goeldii"
"219","Proechimys","guairae"
"220","Proechimys","guyannensis"
"221","Proechimys","hoplomyoides"
"222","Proechimys","kulinae"
"223","Proechimys","longicaudatus"
"224","Proechimys","magdalenae"
"225","Proechimys","mincae"
"226","Proechimys","myosuros"
"227","Proechimys","oconnelli"
"228","Proechimys","oris"
"229","Proechimys","pattoni"
"230","Proechimys","poliopus"
"231","Proechimys","quadruplicatus"
"232","Proechimys","roberti"
"233","Proechimys","semispinosus"
"234","Proechimys","simonsi"
"235","Proechimys","steerei"
"236","Proechimys","trinitatus"
"237","Proechimys","urichi"
"238","Thrichomys","apereoides"
"239","Thrichomys","pachyurus"
"240","Trinomys","albispinus"
"241","Trinomys","dimidiatus"
"242","Trinomys","eliasi"
"243","Trinomys","gratiosus"
"244","Trinomys","iheringi"
"245","Trinomys","mirapitanga"
"246","Trinomys","moojeni"
"247","Trinomys","myosuros"
"248","Trinomys","paratus"
"249","Trinomys","setosus"
"250","Trinomys","yonenagae"
"251","Puertoricomys","corozalus"
"252","Heteropsomys","antillensis"
"253","Heteropsomys","insulans"
"254","Brotomys","contractus"
"255","Brotomys","voratus"
"256","Boromys","offella"
"257","Boromys","torrei"
"258","Capromys","gundlachianus"
"259","Capromys","pilorides"
"260","Mesocapromys","angelcabrerai"
"261","Mesocapromys","auritus"
"262","Mesocapromys","melanurus"
"263","Mesocapromys","nanus"
"264","Mesocapromys","sanfelipensis"
"265","Mysateles","garridoi"
"266","Mysateles","gundlachi"
"267","Mysateles","meridionalis"
"268","Mysateles","prehensilis"
"269","Geocapromys","brownii"
"270","Geocapromys","columbianus"
"271","Geocapromys","ingrahami"
"272","Geocapromys","megas"
"273","Geocapromys","pleistocenicus"
"274","Geocapromys","thoracatus"
"275","Plagiodontia","aedium"
"276","Plagiodontia","araeum"
"277","Plagiodontia","ipnaeum"
"278","Rhizoplagiodontia","lemkei"
"279","Isolobodon","montanus"
"280","Isolobodon","portoricensis"
