"recordID","species","sex","hfl","wgt"
63,"DM","M",35,40
64,"DM","M",37,48
65,"DM","F",34,29
66,"DM","F",35,46
67,"DM","M",35,36
68,"DO","F",32,52
69,"PF","M",15,8
70,"OX","F",21,22
71,"DM","F",36,35
74,"PF","M",12,7
75,"DM","F",32,22
78,"PF","M",16,9
79,"DM","F",34,42
81,"PF","F",14,8
82,"DM","F",35,41
83,"DM","F",37,37
84,"DM","F",35,43
85,"DM","F",35,41
86,"DM","F",33,40
87,"PF","F",11,9
88,"DM","F",35,45
89,"PP","F",20,15
90,"DM","M",35,29
92,"DM","M",35,39
94,"DM","F",36,43
"...",,,,
30678,,,,
