"species_id","genus","species","taxa"
"AB","Amphispiza","bilineata","Bird"
"AH","Ammospermophilus","harrisi","Rodent"
"AS","Ammodramus","savannarum","Bird"
"BA","Baiomys","taylori","Rodent"
"CB","Campylorhynchus","brunneicapillus","Bird"
"CM","Calamospiza","melanocorys","Bird"
"CQ","Callipepla","squamata","Bird"
"CS","Crotalus","scutalatus","Reptile"
"CT","Cnemidophorus","tigris","Reptile"
"CU","Cnemidophorus","uniparens","Reptile"
"CV","Crotalus","viridis","Reptile"
"DM","Dipodomys","merriami","Rodent"
"DO","Dipodomys","ordii","Rodent"
"DS","Dipodomys","spectabilis","Rodent"
"DX","Dipodomys","sp.","Rodent"
"EO","Eumeces","obsoletus","Reptile"
"GS","Gambelia","silus","Reptile"
"NL","Neotoma","albigula","Rodent"
"NX","Neotoma","sp.","Rodent"
"OL","Onychomys","leucogaster","Rodent"
"OT","Onychomys","torridus","Rodent"
"OX","Onychomys","sp.","Rodent"
"PB","Chaetodipus","baileyi","Rodent"
"PC","Pipilo","chlorurus","Bird"
"PE","Peromyscus","eremicus","Rodent"
"...",,,
54,,,
