"scientificname","taxa"
"Amphispiza bilineata","Bird"
"Ammospermophilus harrisi","Rodent-not censused"
"Ammodramus savannarum","Bird"
"Campylorhynchus brunneicapillus","Bird"
"Calamospiza melanocorys","Bird"
"Callipepla squamata","Bird"
"Crotalus scutalatus","Reptile"
"Pipilo chlorurus","Bird"
"Pooecetes gramineus","Bird"
"Sylvilagus audubonii","Rabbit"
"Spermophilus spilosoma","Rodent-not censused"
"Sceloporus undulatus","Reptile"
"Lizard sp.","Reptile"
"Pipilo sp.","Bird"
"Sparrow sp.","Bird"
