"recordID","yr","mo","dy","species","wgt"
63,1977,8,19,"DM",40
64,1977,8,19,"DM",48
65,1977,8,19,"DM",29
66,1977,8,19,"DM",46
67,1977,8,19,"DM",36
68,1977,8,19,"DO",52
69,1977,8,19,"PF",8
70,1977,8,19,"OX",22
71,1977,8,19,"DM",35
74,1977,8,19,"PF",7
75,1977,8,19,"DM",22
78,1977,8,19,"PF",9
79,1977,8,19,"DM",42
81,1977,8,19,"PF",8
82,1977,8,19,"DM",41
83,1977,8,20,"DM",37
84,1977,8,20,"DM",43
85,1977,8,20,"DM",41
86,1977,8,20,"DM",40
87,1977,8,20,"PF",9
88,1977,8,20,"DM",45
89,1977,8,20,"PP",15
90,1977,8,20,"DM",29
92,1977,8,20,"DM",39
93,1977,8,20,"DM",42
"...",,,,,
32283,,,,,

