"year","month","day","species_id","weight"
1977,8,19,"DM",40
1977,8,19,"DM",48
1977,8,19,"DM",29
1977,8,19,"DM",46
1977,8,19,"DM",36
1977,8,19,"DO",52
1977,8,19,"PF",8
1977,8,19,"OX",22
1977,8,19,"DM",35
1977,8,19,"PF",7
1977,8,19,"DM",22
1977,8,19,"PF",9
1977,8,19,"DM",42
1977,8,19,"PF",8
1977,8,19,"DM",41
1977,8,20,"DM",37
1977,8,20,"DM",43
1977,8,20,"DM",41
1977,8,20,"DM",40
1977,8,20,"PF",9
1977,8,20,"DM",45
1977,8,20,"PP",15
1977,8,20,"DM",29
1977,8,20,"DM",39
1977,8,20,"DM",42
"...",,,,
32283,,,,
