                 species gc_content
1 A-saccharovorans.fasta      57.22
2 C-aenigmarchaeum.fasta      39.32
3     C-lagunensis.fasta      30.03
4      C-symbiosum.fasta      57.37
5         F-fontis.fasta      37.47
6    G-acetivorans.fasta      46.84
7        H-salinum.fasta      63.78
8    N-moolapensis.fasta      64.53
9        T-pendens.fasta      57.67
